App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,New_size,New_version,Income,Installs_log,Reviews_log,Price_log,Income_log,New_size_log,Action,Adventure,Arcade,Board,Card,Casino,Casual,Music,Puzzle,Racing,Role Playing,Simulation,Sports,Strategy,Trivia,Word
Cover Fire: offline shooting games for free,GAME,4.7,725897,31M,10000000.0,Free,0.0,Teen,Action,2018-08-03,1.8.20,4.1 and up,31744.0,4.1,0.0,16.11809565095832,13.49516341046373,0.0,0.0,10.3654590100846,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anger of stick 5 : zombie,GAME,4.5,549039,23M,50000000.0,Free,0.0,Teen,Action,2018-08-03,1.1.5,2.3 and up,23552.0,2.3,0.0,17.72753356339242,13.215924756219938,0.0,0.0,10.066966021528604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,50000000.0,Free,0.0,Everyone,Action,2018-07-09,2.11.1,4.1 and up,,4.1,0.0,17.72753356339242,14.259971995079121,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soul Knight,GAME,4.7,292164,59M,10000000.0,Free,0.0,Everyone 10+,Action,2018-08-01,1.8.4,4.1 and up,60416.0,4.1,0.0,16.11809565095832,12.585070567423166,0.0,0.0,11.009009249505173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Major Mayhem,GAME,4.6,520962,39M,10000000.0,Free,0.0,Teen,Action,2017-06-28,108,4.0 and up,39936.0,4.0,0.0,16.11809565095832,13.163432381415229,0.0,0.0,10.5950334517291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381820,54M,10000000.0,Free,0.0,Teen,Action,2017-03-14,3.1.1,3.0 and up,55296.0,3.0,0.0,16.11809565095832,14.138912028806743,0.0,0.0,10.920455852163727,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry Shortcake BerryRush,GAME,4.3,525517,48M,10000000.0,Free,0.0,Everyone,Action,2017-10-15,1.2.3,2.3 and up,49152.0,2.3,0.0,16.11809565095832,13.172137818918609,0.0,0.0,10.802672816507345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extreme Match,GAME,4.5,696,Varies with device,100000.0,Free,0.0,Everyone,Action,2018-07-05,1.1.7,4.1 and up,,4.1,0.0,11.512925464970229,6.54534966033442,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Rangers Dino Charge,GAME,4.3,194969,30M,10000000.0,Free,0.0,Everyone 10+,Action,2018-01-29,1.4.0,4.1 and up,30720.0,4.1,0.0,16.11809565095832,12.180595850549146,0.0,0.0,10.332669187261608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Hunter: Post Apocalypse Survival Games,GAME,4.4,327599,66M,10000000.0,Free,0.0,Teen,Action,2017-07-28,2.4.2,2.3.3 and up,67584.0,2.3.3,0.0,16.11809565095832,12.69954557845334,0.0,0.0,11.12112654762588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agar.io,GAME,4.2,3816799,32M,100000000.0,Free,0.0,Everyone,Action,2018-07-23,2.2.8,4.0.3 and up,32768.0,4.0.3,0.0,18.420680743952367,15.15492267118442,0.0,0.0,10.39720770839918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Hunter King,GAME,4.3,10538,50M,1000000.0,Free,0.0,Mature 17+,Action,2018-08-01,1.0.8,2.3 and up,51200.0,2.3,0.0,13.815510557964274,9.262743050769231,0.0,0.0,10.843494811027599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battlelands Royale,GAME,4.4,105620,61M,1000000.0,Free,0.0,Everyone 10+,Action,2018-07-16,0.5.8,4.1 and up,62464.0,4.1,0.0,13.815510557964274,11.567603026260924,0.0,0.0,11.042345669772764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Tower,GAME,4.7,37139,49M,1000000.0,Free,0.0,Everyone 10+,Action,2018-01-24,8,4.1 and up,50176.0,4.1,0.0,13.815510557964274,10.52242290939612,0.0,0.0,10.823292103710079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEKKEN™,GAME,4.2,147791,38M,5000000.0,Free,0.0,Teen,Action,2018-07-26,1.3,5.0 and up,38912.0,5.0,0.0,15.424948470398375,11.903554392543397,0.0,0.0,10.56905796532584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diep.io,GAME,4.1,347883,20M,10000000.0,Free,0.0,Everyone,Action,2018-03-16,1.2.7,4.0.3 and up,20480.0,4.0.3,0.0,16.11809565095832,12.75962149532985,0.0,0.0,9.927204079153444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrow.io,GAME,4.5,343263,Varies with device,10000000.0,Free,0.0,Everyone 10+,Action,2018-08-06,1.2.6,4.0.3 and up,,4.0.3,0.0,16.11809565095832,12.746252196183255,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEYBLADE BURST app,GAME,4.5,216849,Varies with device,10000000.0,Free,0.0,Everyone,Action,2018-07-16,Varies with device,Varies with device,,0,0.0,16.11809565095832,12.286956537770287,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Hills,GAME,4.5,354373,66M,10000000.0,Free,0.0,Everyone 10+,Action,2017-10-12,1.2.7,4.1 and up,67584.0,4.1,0.0,16.11809565095832,12.77810530970925,0.0,0.0,11.12112654762588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus Rush: Subway Edition,GAME,4.1,753043,57M,100000000.0,Free,0.0,Teen,Action,2018-08-01,1.15.2,4.0.3 and up,58368.0,4.0.3,0.0,18.420680743952367,13.531877610065285,0.0,0.0,10.974523073434003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC Super Hero Girls™,GAME,4.3,43055,95M,5000000.0,Free,0.0,Everyone,Action,2018-06-29,2.8.0,4.0 and up,97280.0,4.0,0.0,15.424948470398375,10.670233647130265,0.0,0.0,11.485348697199994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiny Archers,GAME,4.5,80678,Varies with device,5000000.0,Free,0.0,Mature 17+,Action,2018-05-25,Varies with device,Varies with device,,0,0.0,15.424948470398375,11.298221202469863,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal Soldiers 2,GAME,4.4,153381,Varies with device,10000000.0,Free,0.0,Teen,Action,2018-06-18,1.11.2,4.1 and up,,4.1,0.0,16.11809565095832,11.940680301052454,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Runner 3d like,GAME,4.5,559,32M,100000.0,Free,0.0,Everyone 10+,Action,2018-08-03,1.0.7,4.0 and up,32768.0,4.0,0.0,11.512925464970229,6.326149473155099,0.0,0.0,10.39720770839918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
War Robots,GAME,4.6,3073251,33M,50000000.0,Free,0.0,Everyone 10+,Action,2018-07-25,4.1.1,4.1 and up,33792.0,4.1,0.0,17.72753356339242,14.938246516917967,0.0,0.0,10.427979367065934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinosaur Simulator: Dino World,GAME,4.0,26649,66M,5000000.0,Free,0.0,Teen,Action,2018-08-05,1.2,4.2 and up,67584.0,4.2,0.0,15.424948470398375,10.190506905437811,0.0,0.0,11.12112654762588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75M,50000000.0,Free,0.0,Teen,Action,2018-08-01,2.6.61,4.0.3 and up,76800.0,4.0.3,0.0,17.72753356339242,14.581461539187314,0.0,0.0,11.248959919135764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quiz: Logo game,GAME,4.5,306764,29M,10000000.0,Free,0.0,Everyone,Trivia,2018-08-03,6.2,4.0.3 and up,29696.0,4.0.3,0.0,16.11809565095832,12.633834001303496,0.0,0.0,10.298767635585927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Helix Jump,GAME,4.2,1500622,33M,100000000.0,Free,0.0,Everyone,Action,2018-04-09,1.0.6,4.1 and up,33792.0,4.1,0.0,18.420680743952367,14.221390246788642,0.0,0.0,10.427979367065934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 Ball Pool,GAME,4.5,14201604,52M,100000000.0,Free,0.0,Everyone,Sports,2018-07-31,4.0.0,4.0.3 and up,53248.0,4.0.3,0.0,18.420680743952367,16.468865473938724,0.0,0.0,10.882715524180881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jewels Legend - Match 3 Puzzle,GAME,4.6,280098,50M,10000000.0,Free,0.0,Everyone,Arcade,2018-07-20,2.11.2,4.0.3 and up,51200.0,4.0.3,0.0,16.11809565095832,12.542894820915675,0.0,0.0,10.843494811027599,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubble Shooter,GAME,4.5,148990,46M,10000000.0,Free,0.0,Everyone,Casual,2018-07-17,1.20.1,4.0.3 and up,47104.0,4.0.3,0.0,16.11809565095832,11.911634468581385,0.0,0.0,10.760113202088547,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Solitaire,GAME,4.7,154264,12M,10000000.0,Free,0.0,Everyone,Card,2018-06-08,Varies with device,Varies with device,12288.0,0,0.0,16.11809565095832,11.946420699399441,0.0,0.0,9.416378455387454,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bubble Shooter Genies,GAME,4.5,26985,41M,5000000.0,Free,0.0,Everyone,Casual,2018-06-04,1.9.1,4.0.3 and up,41984.0,4.0.3,0.0,15.424948470398375,10.203036435052743,0.0,0.0,10.645043872303761,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Blossom Blast Saga,GAME,4.5,1125438,63M,10000000.0,Free,0.0,Everyone,Casual,2018-07-05,57.0.8,4.0.3 and up,64512.0,4.0.3,0.0,16.11809565095832,13.933682851183434,0.0,0.0,11.074606531990986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Traffic Racer,GAME,4.5,5387781,53M,100000000.0,Free,0.0,Everyone,Racing,2018-02-27,2.5,4.1 and up,54272.0,4.1,0.0,18.420680743952367,15.499644169806592,0.0,0.0,10.901763719151575,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hill Climb Racing,GAME,4.4,8923847,63M,100000000.0,Free,0.0,Everyone,Racing,2018-07-02,1.37.2,4.2 and up,64512.0,4.2,0.0,18.420680743952367,16.00423768960946,0.0,0.0,11.074606531990986,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Earn to Die 2,GAME,4.6,1327269,99M,50000000.0,Free,0.0,Teen,Racing,2017-04-12,1.3,2.3.3 and up,101376.0,2.3.3,0.0,17.72753356339242,14.098634005657074,0.0,0.0,11.526591655734043,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bubble Shooter 2,GAME,4.3,23043,Varies with device,5000000.0,Free,0.0,Everyone,Arcade,2018-07-25,3.5,4.1 and up,,4.1,0.0,15.424948470398375,10.045117314666792,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Candy Bomb,GAME,4.4,42145,20M,10000000.0,Free,0.0,Everyone,Casual,2018-07-04,2.9.3181,4.0.3 and up,20480.0,4.0.3,0.0,16.11809565095832,10.648871332431582,0.0,0.0,9.927204079153444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zombie Catchers,GAME,4.7,990796,75M,10000000.0,Free,0.0,Everyone,Action,2018-05-24,1.0.27,4.1 and up,76800.0,4.1,0.0,16.11809565095832,13.806263939447488,0.0,0.0,11.248959919135764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gems or jewels ?,GAME,4.7,171448,13M,10000000.0,Free,0.0,Teen,Puzzle,2018-08-03,1.0.109,4.0 and up,13312.0,4.0,0.0,16.11809565095832,12.052035292614512,0.0,0.0,9.49642116306099,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Angry Birds Rio,GAME,4.4,2610680,46M,100000000.0,Free,0.0,Everyone,Arcade,2018-07-03,2.6.9,4.1 and up,47104.0,4.1,0.0,18.420680743952367,14.77512128176363,0.0,0.0,10.760113202088547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Candy Crush Jelly Saga,GAME,4.3,1300619,78M,50000000.0,Free,0.0,Everyone,Puzzle,2018-07-20,2.1.10,4.0 and up,79872.0,4.0,0.0,17.72753356339242,14.078350862952648,0.0,0.0,11.288180632289045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cut the Rope FULL FREE,GAME,4.4,2123793,49M,100000000.0,Free,0.0,Everyone,Puzzle,2018-07-05,3.7.2,4.1 and up,50176.0,4.1,0.0,18.420680743952367,14.568714198967545,0.0,0.0,10.823292103710079,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hungry Shark Evolution,GAME,4.5,6074627,100M,100000000.0,Free,0.0,Teen,Arcade,2018-07-25,6.0.0,4.1 and up,102400.0,4.1,0.0,18.420680743952367,15.619631146128924,0.0,0.0,11.536641991587544,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Power Pop Bubbles,GAME,4.4,104303,Varies with device,10000000.0,Free,0.0,Everyone,Arcade,2018-08-02,3.15,4.1 and up,,4.1,0.0,16.11809565095832,11.555055403758336,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Angry Birds Classic,GAME,4.4,5566908,97M,100000000.0,Free,0.0,Everyone,Arcade,2018-05-24,7.9.3,4.1 and up,99328.0,4.1,0.0,18.420680743952367,15.53235034107256,0.0,0.0,11.506182784102837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Best Fiends - Free Puzzle Game,GAME,4.6,1480182,Varies with device,10000000.0,Free,0.0,Everyone,Casual,2018-08-02,5.8.1,Varies with device,,0,0.0,16.11809565095832,14.207675611152714,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hill Climb Racing 2,GAME,4.6,2750645,Varies with device,100000000.0,Free,0.0,Everyone,Racing,2018-08-02,1.17.2,4.2 and up,,4.2,0.0,18.420680743952367,14.827345987595814,0.0,0.0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jewels classic Prince,GAME,4.4,47644,15M,5000000.0,Free,0.0,Everyone,Puzzle,2018-06-15,2.4.2,4.0 and up,15360.0,4.0,0.0,15.424948470398375,10.771511983000792,0.0,0.0,9.639522006701663,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,10000000.0,Free,0.0,Everyone,Casual,2018-07-23,60,4.1 and up,33792.0,4.1,0.0,16.11809565095832,11.741231666841102,0.0,0.0,10.427979367065934,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bubble Shooter Space,GAME,4.2,4355,Varies with device,1000000.0,Free,0.0,Everyone,Casual,2017-07-17,1.6,2.3 and up,,2.3,0.0,13.815510557964274,8.379079889286603,0.0,0.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Swamp Attack,GAME,4.4,2119235,70M,50000000.0,Free,0.0,Everyone 10+,Action,2018-06-29,3.0.1,4.1 and up,71680.0,4.1,0.0,17.72753356339242,14.566565732469904,0.0,0.0,11.179967047648812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1LINE – One Line with One Touch,GAME,4.6,214878,10M,10000000.0,Free,0.0,Everyone,Board,2018-08-03,2.0.4,4.1 and up,10240.0,4.1,0.0,16.11809565095832,12.277825704193273,0.0,0.0,9.234056898593499,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Stick War: Legacy,GAME,4.6,811040,77M,10000000.0,Free,0.0,Teen,Strategy,2018-05-10,1.7.04,4.4 and up,78848.0,4.4,0.0,16.11809565095832,13.606072653706176,0.0,0.0,11.275277227453136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bowmasters,GAME,4.7,1536349,Varies with device,50000000.0,Free,0.0,Teen,Action,2018-07-23,2.12.5,4.1 and up,,4.1,0.0,17.72753356339242,14.244919380422333,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Block Puzzle Classic Legend !,GAME,4.2,17044,4.9M,5000000.0,Free,0.0,Everyone,Puzzle,2018-04-13,2.9,2.3.3 and up,5017.6,2.3.3,0.0,15.424948470398375,9.743553514619803,0.0,0.0,8.520707010716034,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,Varies with device,10000000.0,Free,0.0,Everyone,Puzzle,2018-08-03,1.3.35,4.1 and up,,4.1,0.0,16.11809565095832,11.952379676476866,0.0,0.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pixel Art: Color by Number Game,GAME,4.7,1125566,25M,10000000.0,Free,0.0,Everyone,Puzzle,2018-07-17,3.9.2,4.3 and up,25600.0,4.3,0.0,16.11809565095832,13.933796578213807,0.0,0.0,10.150347630467653,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Super Jabber Jump 3,GAME,4.3,34494,23M,5000000.0,Free,0.0,Everyone 10+,Arcade,2018-07-11,2.5.3182,2.3 and up,23552.0,2.3,0.0,15.424948470398375,10.448540674851346,0.0,0.0,10.066966021528604,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush,GAME,4.6,260651,51M,10000000.0,Free,0.0,Everyone,Arcade,2018-02-14,1.1,4.0 and up,52224.0,4.0,0.0,16.11809565095832,12.470937626751333,0.0,0.0,10.863297438323778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jetpack Joyride,GAME,4.4,4638163,96M,100000000.0,Free,0.0,Everyone 10+,Arcade,2018-07-19,1.10.12,4.1 and up,98304.0,4.1,0.0,18.420680743952367,15.349828940638881,0.0,0.0,11.49581999706729,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Tsunami,GAME,4.4,4921409,Varies with device,100000000.0,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device,Varies with device,,0,0.0,18.420680743952367,15.409105429582782,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468638,Varies with device,50000000.0,Free,0.0,Mature 17+,Action,2018-07-23,Varies with device,Varies with device,,0,0.0,17.72753356339242,14.199845998647872,0.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Word Search,GAME,4.2,344585,Varies with device,50000000.0,Free,0.0,Everyone,Word,2018-07-02,Varies with device,Varies with device,,0,0.0,17.72753356339242,12.750096073399602,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Farm Heroes Saga,GAME,4.4,7614407,70M,100000000.0,Free,0.0,Everyone,Casual,2018-07-26,5.1.8,2.3 and up,71680.0,2.3,0.0,18.420680743952367,15.84555266865934,0.0,0.0,11.179967047648812,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Racing in Car 2,GAME,4.3,234110,38M,50000000.0,Free,0.0,Everyone,Racing,2016-11-22,1.0,2.3.3 and up,38912.0,2.3.3,0.0,17.72753356339242,12.363546369354363,0.0,0.0,10.56905796532584,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dog Run - Pet Dog Simulator,GAME,4.7,48615,24M,10000000.0,Free,0.0,Everyone,Simulation,2018-05-22,1.4.12,4.1 and up,24576.0,4.1,0.0,16.11809565095832,10.791687404243758,0.0,0.0,10.1095256359474,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rope Hero Return of a Legend,GAME,4.3,9951,96M,1000000.0,Free,0.0,Mature 17+,Arcade,2016-08-26,1.0,2.3 and up,98304.0,2.3,0.0,13.815510557964274,9.205428327615163,0.0,0.0,11.49581999706729,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Draw a Stickman: EPIC 2 Free,GAME,4.3,213340,24M,10000000.0,Free,0.0,Everyone,Adventure,2018-06-14,1.2.1.49,4.0 and up,24576.0,4.0,0.0,16.11809565095832,12.270642416179474,0.0,0.0,10.1095256359474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agar.io,GAME,4.2,3815614,32M,100000000.0,Free,0.0,Everyone,Action,2018-07-23,2.2.8,4.0.3 and up,32768.0,4.0.3,0.0,18.420680743952367,15.154612153394169,0.0,0.0,10.39720770839918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angry Birds Classic,GAME,4.4,5565856,97M,100000000.0,Free,0.0,Everyone,Arcade,2018-05-24,7.9.3,4.1 and up,99328.0,4.1,0.0,18.420680743952367,15.532161349371464,0.0,0.0,11.506182784102837,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UNO ™ & Friends,GAME,4.1,1728557,Varies with device,50000000.0,Free,0.0,Everyone,Card,2017-09-20,Varies with device,Varies with device,,0,0.0,17.72753356339242,14.362797514369381,0.0,0.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4 in a Row,GAME,3.8,4257,Varies with device,500000.0,Free,0.0,Everyone,Board,2018-05-13,Varies with device,Varies with device,,0,0.0,13.122363377404328,8.356319965828153,0.0,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bubble Shooter,GAME,4.5,43576,50M,5000000.0,Free,0.0,Everyone,Arcade,2017-09-13,4.4,2.3 and up,51200.0,2.3,0.0,15.424948470398375,10.68226181906351,0.0,0.0,10.843494811027599,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Subway Surfers,GAME,4.5,27711703,76M,1000000000.0,Free,0.0,Everyone 10+,Arcade,2018-07-12,1.90.0,4.1 and up,77824.0,4.1,0.0,20.72326583694641,17.137365372908114,0.0,0.0,11.262205145885785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Super Mario Run,GAME,3.7,1221896,70M,100000000.0,Free,0.0,Everyone,Action,2018-07-12,3.0.11,4.2 and up,71680.0,4.2,0.0,18.420680743952367,14.015914308708945,0.0,0.0,11.179967047648812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STARDOM: THE A-LIST,GAME,4.5,152658,29M,1000000.0,Free,0.0,Teen,Adventure,2014-09-12,2.1.8,2.1 and up,29696.0,2.1,0.0,13.815510557964274,11.935955404257864,0.0,0.0,10.298767635585927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow Hockey,GAME,4.1,1703479,Varies with device,100000000.0,Free,0.0,Everyone,Arcade,2018-07-22,1.3.8,4.1 and up,,4.1,0.0,18.420680743952367,14.348183188446269,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokémon GO,GAME,4.1,10421284,85M,100000000.0,Free,0.0,Everyone,Adventure,2018-07-23,0.111.3,4.4 and up,87040.0,4.4,0.0,18.420680743952367,16.159360811266108,0.0,0.0,11.374123062089769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asphalt 8: Airborne,GAME,4.5,8389714,92M,100000000.0,Free,0.0,Teen,Racing,2018-07-04,3.7.1a,4.0.3 and up,94208.0,4.0.3,0.0,18.420680743952367,15.942516989662135,0.0,0.0,11.453260382648493,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PAC-MAN,GAME,4.2,685450,37M,100000000.0,Free,0.0,Everyone,Arcade,2018-05-15,6.6.3,4.1 and up,37888.0,4.1,0.0,18.420680743952367,13.437830835864046,0.0,0.0,10.542389718243678,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lep's World 2 🍀🍀,GAME,4.3,798522,57M,100000000.0,Free,0.0,Everyone 10+,Arcade,2018-06-07,1.9.8.0,4.1 and up,58368.0,4.1,0.0,18.420680743952367,13.590517797917025,0.0,0.0,10.974523073434003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Law of Creation: A Playable Manga,GAME,4.5,13118,47M,500000.0,Free,0.0,Teen,Adventure,2018-06-25,1.0.19,4.0.3 and up,48128.0,4.0.3,0.0,13.122363377404328,9.481740611853681,0.0,0.0,10.781619407309512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real City Car Driver,GAME,3.7,413609,22M,10000000.0,Free,0.0,Mature 17+,Racing,2018-08-01,2.8,4.1 and up,22528.0,4.1,0.0,16.11809565095832,12.932676362094346,0.0,0.0,10.022514258957768,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rolling Sky,GAME,4.5,1117212,50M,50000000.0,Free,0.0,Everyone,Board,2018-08-03,Varies with device,4.0.3 and up,51200.0,4.0.3,0.0,17.72753356339242,13.926346854134033,0.0,0.0,10.843494811027599,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4 in a row,GAME,4.3,47698,4.1M,5000000.0,Free,0.0,Everyone,Board,2016-04-12,1.0.21,1.5 and up,4198.4,1.5,0.0,15.424948470398375,10.772644747276225,0.0,0.0,8.342458779309714,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Four In A Line Free,GAME,4.3,133195,11M,5000000.0,Free,0.0,Everyone,Board,2018-06-11,1.58,4.1 and up,11264.0,4.1,0.0,15.424948470398375,11.799569498846337,0.0,0.0,9.329367078397823,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alto's Adventure,GAME,4.6,515240,63M,10000000.0,Free,0.0,Everyone,Action,2018-06-05,1.7.1,4.0 and up,64512.0,4.0,0.0,16.11809565095832,13.152388090510025,0.0,0.0,11.074606531990986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Draw A Stickman,GAME,3.4,29265,17M,1000000.0,Free,0.0,Everyone,Adventure,2017-05-19,1.1.0,4.0.3 and up,17408.0,4.0.3,0.0,13.815510557964274,10.284147541725321,0.0,0.0,9.76468514965567,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Tsunami,GAME,4.4,4918776,Varies with device,100000000.0,Free,0.0,Everyone 10+,Arcade,2018-06-15,Varies with device,Varies with device,,0,0.0,18.420680743952367,15.408570277029687,0.0,0.0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Four In A Line,GAME,3.8,22191,3.0M,1000000.0,Free,0.0,Everyone,Board,2015-05-04,1.10,2.3 and up,3072.0,2.3,0.0,13.815510557964274,10.007442080255977,0.0,0.0,8.030084094267563,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cardi B Piano Game,GAME,3.1,50,7.4M,10000.0,Free,0.0,Everyone,Music,2017-11-15,2.0,4.0 and up,7577.6,4.0,0.0,9.210340371976184,3.912023005428146,0.0,0.0,8.932951805809576,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MORTAL KOMBAT X,GAME,4.4,3039889,18M,10000000.0,Free,0.0,Mature 17+,Action,2018-06-27,1.18.2,4.0 and up,18432.0,4.0,0.0,16.11809565095832,14.927331559557889,0.0,0.0,9.821843563495618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
► MultiCraft ― Free Miner! 👍,GAME,4.3,1305050,Varies with device,50000000.0,Free,0.0,Everyone 10+,Adventure,2018-07-29,1.1.11.11,4.1 and up,,4.1,0.0,17.72753356339242,14.081751912181208,0.0,0.0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
